Full Name,Admission Number,Email,Student Register No,Parivar Pechan Patar,APAAR ID,Aadhaar Number,Admit Date,Age,Date of Birth,Category,Branch Name,PEN No,Student ID,Height,Weight,Religion,Caste,Nationality,Gender,Blood Group,ishostelopted,Transport Route,Admit Group,Admit Stream,Admit Class,Admit Section,Admit Roll No,Admit Semester,Admit House,Current Group,Current Stream,Current Class,Current Section,Current Roll No,Current Semester,Current House,Academic Registration No,Previous School,School Address,TC Date,Previous Class,Percentage,Extra Activities,Father Name,Father Email,Father Contact,Father Qualification,Father Occupation,Father Aadhaar,Father Annual Income,Mother Name,Mother Contact,Mother Qualification,Mother Occupation,Mother Aadhaar,Mother Annual Income,Guardian Name,Guardian Address,Guardian Contact,Guardian Email,Guardian Aadhaar,Guardian Occupation,Guardian Annual Income,Mobile Number,Emergency Contact,House No,Street,City,State,Pin Code,Permanent House No,Permanent Street,Permanent City,Permanent State,Permanent Pin Code,Transport Mode,transport_busId,Pickup Point,transport_pickupDriverId,transport_pickupRouteId,transport_pickupBusId,transport_pickupLocation,transport_pickupArea,transport_dropDriverId,transport_dropRouteId,transport_dropBusId,transport_dropLocation,transport_dropArea,Belongs to BPL,Minority,Disability,Type of Disability,Bank Account No,Bank Name,IFSC Code,Medium of Instruction,Last Year Result,Single Parent,Only Child,Only Girl Child,Transfer Case,Living With,Mother Tongue,Admission Type,UDISE No,fatherSignature,motherSignature,guardianSignature
Student 11,ADM-STUDEN-00011,student11@example.com,REG-ADMSTU-00011,,,,,16,01/01/2010,General,Student 11,,STU-ADMSTU-00011,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00011,,,,,,,Student 11,student11@example.com,9876501011,,,,,Student 11,9876501011,,,,,Student 11,Address 11,9876501011,student11@example.com,,,,9876501011,9876501011,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 11,,,,no,no,no,no,,,ADM0011,,,,
Student 12,ADM-STUDEN-00012,student12@example.com,REG-ADMSTU-00012,,,,,16,01/01/2010,General,Student 12,,STU-ADMSTU-00012,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00012,,,,,,,Student 12,student12@example.com,9876501012,,,,,Student 12,9876501012,,,,,Student 12,Address 12,9876501012,student12@example.com,,,,9876501012,9876501012,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 12,,,,no,no,no,no,,,ADM0012,,,,
Student 13,ADM-STUDEN-00013,student13@example.com,REG-ADMSTU-00013,,,,,16,01/01/2010,General,Student 13,,STU-ADMSTU-00013,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00013,,,,,,,Student 13,student13@example.com,9876501013,,,,,Student 13,9876501013,,,,,Student 13,Address 13,9876501013,student13@example.com,,,,9876501013,9876501013,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 13,,,,no,no,no,no,,,ADM0013,,,,
Student 14,ADM-STUDEN-00014,student14@example.com,REG-ADMSTU-00014,,,,,16,01/01/2010,General,Student 14,,STU-ADMSTU-00014,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00014,,,,,,,Student 14,student14@example.com,9876501014,,,,,Student 14,9876501014,,,,,Student 14,Address 14,9876501014,student14@example.com,,,,9876501014,9876501014,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 14,,,,no,no,no,no,,,ADM0014,,,,
Student 15,ADM-STUDEN-00015,student15@example.com,REG-ADMSTU-00015,,,,,16,01/01/2010,General,Student 15,,STU-ADMSTU-00015,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00015,,,,,,,Student 15,student15@example.com,9876501015,,,,,Student 15,9876501015,,,,,Student 15,Address 15,9876501015,student15@example.com,,,,9876501015,9876501015,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 15,,,,no,no,no,no,,,ADM0015,,,,
Student 16,ADM-STUDEN-00016,student16@example.com,REG-ADMSTU-00016,,,,,16,01/01/2010,General,Student 16,,STU-ADMSTU-00016,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00016,,,,,,,Student 16,student16@example.com,9876501016,,,,,Student 16,9876501016,,,,,Student 16,Address 16,9876501016,student16@example.com,,,,9876501016,9876501016,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 16,,,,no,no,no,no,,,ADM0016,,,,
Student 17,ADM-STUDEN-00017,student17@example.com,REG-ADMSTU-00017,,,,,16,01/01/2010,General,Student 17,,STU-ADMSTU-00017,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00017,,,,,,,Student 17,student17@example.com,9876501017,,,,,Student 17,9876501017,,,,,Student 17,Address 17,9876501017,student17@example.com,,,,9876501017,9876501017,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 17,,,,no,no,no,no,,,ADM0017,,,,
Student 18,ADM-STUDEN-00018,student18@example.com,REG-ADMSTU-00018,,,,,16,01/01/2010,General,Student 18,,STU-ADMSTU-00018,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00018,,,,,,,Student 18,student18@example.com,9876501018,,,,,Student 18,9876501018,,,,,Student 18,Address 18,9876501018,student18@example.com,,,,9876501018,9876501018,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 18,,,,no,no,no,no,,,ADM0018,,,,
Student 19,ADM-STUDEN-00019,student19@example.com,REG-ADMSTU-00019,,,,,16,01/01/2010,General,Student 19,,STU-ADMSTU-00019,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00019,,,,,,,Student 19,student19@example.com,9876501019,,,,,Student 19,9876501019,,,,,Student 19,Address 19,9876501019,student19@example.com,,,,9876501019,9876501019,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 19,,,,no,no,no,no,,,ADM0019,,,,
Student 20,ADM-STUDEN-00020,student20@example.com,REG-ADMSTU-00020,,,,,16,01/01/2010,General,Student 20,,STU-ADMSTU-00020,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00020,,,,,,,Student 20,student20@example.com,9876501020,,,,,Student 20,9876501020,,,,,Student 20,Address 20,9876501020,student20@example.com,,,,9876501020,9876501020,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 20,,,,no,no,no,no,,,ADM0020,,,,
Student 21,ADM-STUDEN-00021,student21@example.com,REG-ADMSTU-00021,,,,,16,01/01/2010,General,Student 21,,STU-ADMSTU-00021,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00021,,,,,,,Student 21,student21@example.com,9876501021,,,,,Student 21,9876501021,,,,,Student 21,Address 21,9876501021,student21@example.com,,,,9876501021,9876501021,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 21,,,,no,no,no,no,,,ADM0021,,,,
Student 22,ADM-STUDEN-00022,student22@example.com,REG-ADMSTU-00022,,,,,16,01/01/2010,General,Student 22,,STU-ADMSTU-00022,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00022,,,,,,,Student 22,student22@example.com,9876501022,,,,,Student 22,9876501022,,,,,Student 22,Address 22,9876501022,student22@example.com,,,,9876501022,9876501022,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 22,,,,no,no,no,no,,,ADM0022,,,,
Student 23,ADM-STUDEN-00023,student23@example.com,REG-ADMSTU-00023,,,,,16,01/01/2010,General,Student 23,,STU-ADMSTU-00023,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00023,,,,,,,Student 23,student23@example.com,9876501023,,,,,Student 23,9876501023,,,,,Student 23,Address 23,9876501023,student23@example.com,,,,9876501023,9876501023,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 23,,,,no,no,no,no,,,ADM0023,,,,
Student 24,ADM-STUDEN-00024,student24@example.com,REG-ADMSTU-00024,,,,,16,01/01/2010,General,Student 24,,STU-ADMSTU-00024,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00024,,,,,,,Student 24,student24@example.com,9876501024,,,,,Student 24,9876501024,,,,,Student 24,Address 24,9876501024,student24@example.com,,,,9876501024,9876501024,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 24,,,,no,no,no,no,,,ADM0024,,,,
Student 25,ADM-STUDEN-00025,student25@example.com,REG-ADMSTU-00025,,,,,16,01/01/2010,General,Student 25,,STU-ADMSTU-00025,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00025,,,,,,,Student 25,student25@example.com,9876501025,,,,,Student 25,9876501025,,,,,Student 25,Address 25,9876501025,student25@example.com,,,,9876501025,9876501025,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 25,,,,no,no,no,no,,,ADM0025,,,,
Student 26,ADM-STUDEN-00026,student26@example.com,REG-ADMSTU-00026,,,,,16,01/01/2010,General,Student 26,,STU-ADMSTU-00026,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00026,,,,,,,Student 26,student26@example.com,9876501026,,,,,Student 26,9876501026,,,,,Student 26,Address 26,9876501026,student26@example.com,,,,9876501026,9876501026,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 26,,,,no,no,no,no,,,ADM0026,,,,
Student 27,ADM-STUDEN-00027,student27@example.com,REG-ADMSTU-00027,,,,,16,01/01/2010,General,Student 27,,STU-ADMSTU-00027,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00027,,,,,,,Student 27,student27@example.com,9876501027,,,,,Student 27,9876501027,,,,,Student 27,Address 27,9876501027,student27@example.com,,,,9876501027,9876501027,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 27,,,,no,no,no,no,,,ADM0027,,,,
Student 28,ADM-STUDEN-00028,student28@example.com,REG-ADMSTU-00028,,,,,16,01/01/2010,General,Student 28,,STU-ADMSTU-00028,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00028,,,,,,,Student 28,student28@example.com,9876501028,,,,,Student 28,9876501028,,,,,Student 28,Address 28,9876501028,student28@example.com,,,,9876501028,9876501028,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 28,,,,no,no,no,no,,,ADM0028,,,,
Student 29,ADM-STUDEN-00029,student29@example.com,REG-ADMSTU-00029,,,,,16,01/01/2010,General,Student 29,,STU-ADMSTU-00029,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00029,,,,,,,Student 29,student29@example.com,9876501029,,,,,Student 29,9876501029,,,,,Student 29,Address 29,9876501029,student29@example.com,,,,9876501029,9876501029,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 29,,,,no,no,no,no,,,ADM0029,,,,
Student 30,ADM-STUDEN-00030,student30@example.com,REG-ADMSTU-00030,,,,,16,01/01/2010,General,Student 30,,STU-ADMSTU-00030,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00030,,,,,,,Student 30,student30@example.com,9876501030,,,,,Student 30,9876501030,,,,,Student 30,Address 30,9876501030,student30@example.com,,,,9876501030,9876501030,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 30,,,,no,no,no,no,,,ADM0030,,,,
Student 31,ADM-STUDEN-00031,student31@example.com,REG-ADMSTU-00031,,,,,16,01/01/2010,General,Student 31,,STU-ADMSTU-00031,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00031,,,,,,,Student 31,student31@example.com,9876501031,,,,,Student 31,9876501031,,,,,Student 31,Address 31,9876501031,student31@example.com,,,,9876501031,9876501031,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 31,,,,no,no,no,no,,,ADM0031,,,,
Student 32,ADM-STUDEN-00032,student32@example.com,REG-ADMSTU-00032,,,,,16,01/01/2010,General,Student 32,,STU-ADMSTU-00032,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00032,,,,,,,Student 32,student32@example.com,9876501032,,,,,Student 32,9876501032,,,,,Student 32,Address 32,9876501032,student32@example.com,,,,9876501032,9876501032,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 32,,,,no,no,no,no,,,ADM0032,,,,
Student 33,ADM-STUDEN-00033,student33@example.com,REG-ADMSTU-00033,,,,,16,01/01/2010,General,Student 33,,STU-ADMSTU-00033,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00033,,,,,,,Student 33,student33@example.com,9876501033,,,,,Student 33,9876501033,,,,,Student 33,Address 33,9876501033,student33@example.com,,,,9876501033,9876501033,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 33,,,,no,no,no,no,,,ADM0033,,,,
Student 34,ADM-STUDEN-00034,student34@example.com,REG-ADMSTU-00034,,,,,16,01/01/2010,General,Student 34,,STU-ADMSTU-00034,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00034,,,,,,,Student 34,student34@example.com,9876501034,,,,,Student 34,9876501034,,,,,Student 34,Address 34,9876501034,student34@example.com,,,,9876501034,9876501034,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 34,,,,no,no,no,no,,,ADM0034,,,,
Student 35,ADM-STUDEN-00035,student35@example.com,REG-ADMSTU-00035,,,,,16,01/01/2010,General,Student 35,,STU-ADMSTU-00035,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00035,,,,,,,Student 35,student35@example.com,9876501035,,,,,Student 35,9876501035,,,,,Student 35,Address 35,9876501035,student35@example.com,,,,9876501035,9876501035,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 35,,,,no,no,no,no,,,ADM0035,,,,
Student 36,ADM-STUDEN-00036,student36@example.com,REG-ADMSTU-00036,,,,,16,01/01/2010,General,Student 36,,STU-ADMSTU-00036,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00036,,,,,,,Student 36,student36@example.com,9876501036,,,,,Student 36,9876501036,,,,,Student 36,Address 36,9876501036,student36@example.com,,,,9876501036,9876501036,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 36,,,,no,no,no,no,,,ADM0036,,,,
Student 37,ADM-STUDEN-00037,student37@example.com,REG-ADMSTU-00037,,,,,16,01/01/2010,General,Student 37,,STU-ADMSTU-00037,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00037,,,,,,,Student 37,student37@example.com,9876501037,,,,,Student 37,9876501037,,,,,Student 37,Address 37,9876501037,student37@example.com,,,,9876501037,9876501037,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 37,,,,no,no,no,no,,,ADM0037,,,,
Student 38,ADM-STUDEN-00038,student38@example.com,REG-ADMSTU-00038,,,,,16,01/01/2010,General,Student 38,,STU-ADMSTU-00038,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00038,,,,,,,Student 38,student38@example.com,9876501038,,,,,Student 38,9876501038,,,,,Student 38,Address 38,9876501038,student38@example.com,,,,9876501038,9876501038,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 38,,,,no,no,no,no,,,ADM0038,,,,
Student 39,ADM-STUDEN-00039,student39@example.com,REG-ADMSTU-00039,,,,,16,01/01/2010,General,Student 39,,STU-ADMSTU-00039,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00039,,,,,,,Student 39,student39@example.com,9876501039,,,,,Student 39,9876501039,,,,,Student 39,Address 39,9876501039,student39@example.com,,,,9876501039,9876501039,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 39,,,,no,no,no,no,,,ADM0039,,,,
Student 40,ADM-STUDEN-00040,student40@example.com,REG-ADMSTU-00040,,,,,16,01/01/2010,General,Student 40,,STU-ADMSTU-00040,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00040,,,,,,,Student 40,student40@example.com,9876501040,,,,,Student 40,9876501040,,,,,Student 40,Address 40,9876501040,student40@example.com,,,,9876501040,9876501040,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 40,,,,no,no,no,no,,,ADM0040,,,,
Student 41,ADM-STUDEN-00041,student41@example.com,REG-ADMSTU-00041,,,,,16,01/01/2010,General,Student 41,,STU-ADMSTU-00041,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00041,,,,,,,Student 41,student41@example.com,9876501041,,,,,Student 41,9876501041,,,,,Student 41,Address 41,9876501041,student41@example.com,,,,9876501041,9876501041,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 41,,,,no,no,no,no,,,ADM0041,,,,
Student 42,ADM-STUDEN-00042,student42@example.com,REG-ADMSTU-00042,,,,,16,01/01/2010,General,Student 42,,STU-ADMSTU-00042,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00042,,,,,,,Student 42,student42@example.com,9876501042,,,,,Student 42,9876501042,,,,,Student 42,Address 42,9876501042,student42@example.com,,,,9876501042,9876501042,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 42,,,,no,no,no,no,,,ADM0042,,,,
Student 43,ADM-STUDEN-00043,student43@example.com,REG-ADMSTU-00043,,,,,16,01/01/2010,General,Student 43,,STU-ADMSTU-00043,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00043,,,,,,,Student 43,student43@example.com,9876501043,,,,,Student 43,9876501043,,,,,Student 43,Address 43,9876501043,student43@example.com,,,,9876501043,9876501043,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 43,,,,no,no,no,no,,,ADM0043,,,,
Student 44,ADM-STUDEN-00044,student44@example.com,REG-ADMSTU-00044,,,,,16,01/01/2010,General,Student 44,,STU-ADMSTU-00044,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00044,,,,,,,Student 44,student44@example.com,9876501044,,,,,Student 44,9876501044,,,,,Student 44,Address 44,9876501044,student44@example.com,,,,9876501044,9876501044,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 44,,,,no,no,no,no,,,ADM0044,,,,
