name,email,username,alternateEmail,phone,emergencyContact,gender,dateOfBirth,workforceType,age,staffCategory,bloodGroup,staffSubcategory,religion,staffSubSubcategory,maritalStatus,address,designation,qualification,experience,joiningDate,monthlySalary,status,isClassIncharge,inchargeClass,inchargeSection,departmentId,employeeCode,classes,subjects,teacherId,facebook,twitter,linkedIn,accountHolderName,accountNumber,bankName,bankBranch
Teacher 39,teacher39@example.com,teacher39,,9876511039,9876511039,Other,14/06/1979,Teaching,47,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00042,,Mathematics,,,,,,,,
Teacher 40,teacher40@example.com,teacher40,,9876511040,9876511040,Other,15/07/1978,Teaching,48,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00043,,Mathematics,,,,,,,,
Teacher 41,teacher41@example.com,teacher41,,9876511041,9876511041,Other,16/08/1977,Teaching,48,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00044,,Mathematics,,,,,,,,
Teacher 42,teacher42@example.com,teacher42,,9876511042,9876511042,Other,17/09/1976,Teaching,49,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00045,,Mathematics,,,,,,,,
Teacher 43,teacher43@example.com,teacher43,,9876511043,9876511043,Other,18/10/1975,Teaching,50,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00046,,Mathematics,,,,,,,,
Teacher 44,teacher44@example.com,teacher44,,9876511044,9876511044,Other,19/11/1974,Teaching,51,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00047,,Mathematics,,,,,,,,
Teacher 45,teacher45@example.com,teacher45,,9876511045,9876511045,Other,20/12/1973,Teaching,52,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00048,,Mathematics,,,,,,,,
Teacher 46,teacher46@example.com,teacher46,,9876511046,9876511046,Other,21/01/1980,Teaching,46,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00049,,Mathematics,,,,,,,,
Teacher 47,teacher47@example.com,teacher47,,9876511047,9876511047,Other,22/02/1979,Teaching,47,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00050,,Mathematics,,,,,,,,
Teacher 48,teacher48@example.com,teacher48,,9876511048,9876511048,Other,23/03/1978,Teaching,48,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00051,,Mathematics,,,,,,,,
Teacher 49,teacher49@example.com,teacher49,,9876511049,9876511049,Other,24/04/1977,Teaching,49,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00052,,Mathematics,,,,,,,,
Teacher 50,teacher50@example.com,teacher50,,9876511050,9876511050,Other,25/05/1976,Teaching,50,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00053,,Mathematics,,,,,,,,
